Component,Part Number,Description,Quantity
650-14228 : McAfee(R) Security Center(TM) (Multi-Language) - 15 Months P romo Version,V6ND7,"Module,Software,MCAF11,15MTH,W8,Extended Manufacturers",1
630-15389 : Microsoft(R) Office trial,00009,"Information,Generic,Part      Number",1
,00009,"Information,Generic,Part      Number",1
630-15071 : Microsoft(R) Office 2010 Softw are Image,N2C16,"Module,Software,OFC-2010T,Factory Install",1
,W3R2K,"INFO,WINRE-ADDR,1500,MB-PTN",0
,KPCKY,"SRV,SW,OFC-2010T,MLANG",0
,W3R2K,"INFO,WINRE-ADDR,1500,MB-PTN",0
,KPCKY,"SRV,SW,OFC-2010T,MLANG",0
620-12323 : OS Media Kit Not Included,MX962,"Module,Information,NO MEDIA",1
,864KE,"Information,PLACEHOLDER       PIECE-PART",0
,864KE,"Information,PLACEHOLDER       PIECE-PART",0
"619-38082 : Windows 8 Single Language, Eng lish (64bit)",XMXG1,"MOD,SW,W8EM64,ENG,APCC",1
,0616F,"INFO,BOOT,GPT,OVERRIDE",0
,2XK0V,"INFO,WINRE-BASE,750,MB-PTN",0
,HFH50,"SRV,OS,W8EM64,ENG",0
,JW1M2,"INFO,IE@V,100000",0
,N2Y9J,"INFO,.NET@V,45000",0
,PJ289,"INFO,VPEPR",0
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",0
,TM318,"INFO,SLP2,ENABLE,WINDOWS",0
,W728F,"SRV,OS,IE,INSTALLER",0
,WHHTX,"INFO,WIN8",0
,X278C,"SRV,OS,DOTNET,INSTALLER",0
,XP9T9,"INFO,BOOT,CNTNR,GPT",0
,T2673,"Service Charge,Operating      System,Windows XP             OCA-MARKER",0
,TM318,"INFO,SLP2,ENABLE,WINDOWS",0
,W728F,"SRV,OS,IE,INSTALLER",0
,WHHTX,"INFO,WIN8",0
,X278C,"SRV,OS,DOTNET,INSTALLER",0
,XP9T9,"INFO,BOOT,CNTNR,GPT",0
619-38073 : Windows 8 Microsoft Patch,NR5YV,"MOD,SW,QFE,WIN8",1
616-10838 : Windows 8 Single Language Digi tal Product Key,3MDNM,"MOD,SW,DPK,W8EM32/64",1
,KMN19,"DPK,OperatingSystem,W8EM32/64",1
583-15830 : Dell(TM) chiclet Keyboard with  Touchpad and num pad (English ),0RKPN,"MOD,KYBD,102,US-INTL,C14SN",1
,9D97X,"KYBD,102,US-INTL,C14SN",1
555-14079 : Dell(TM) Wireless 1703 802.11b /g/n with Bluetooth v4.0,7MMY3,"MOD,CRD,NTWK,DW1703,CNB,WW",1
,FXP0D,"CRD,WRLES,HMC,DW1703,BGN,WW",1
525-10032 : Dell Digital Delivery Cirrus C lient,P6XPR,"Module,Software,CRRS,Multiple User Interface",1
,C2N45,"INFO,SW,CRRS,UPDATE",0
,YR2T2,"SRV,SW,CRRS,MUI",0
,C2N45,"INFO,SW,CRRS,UPDATE",0
,YR2T2,"SRV,SW,CRRS,MUI",0
510-10467 : Stereo Speakers with Waves Max xAudio(R) 4.0,00009,"Information,Generic,Part      Number",1
510-10443 : Integrated single digital micr ophone,00009,"Information,Generic,Part      Number",1
490-14126 : AMD Radeon(TM) HD 7670M with 1 GB DDR3 VRAM,00009,"Information,Generic,Part      Number",1
460-11963 : Shipment Box - Brown,NRWYD,"MOD,SHP MTL,NBK,15",1
,JG9RW,"SHP MTL,CSHN,NBK,15,BTM",1
,5MJ24,"SHP MTL,BAG,NBK,12.5X18,PLYFM",1
,6RNPM,"SHP MTL,BOX,ACC,NBK,15",1
,8VK5R,"SHP MTL,BOX,SYSM,NBK,15",1
,90XKD,"SHP MTL,CSHN,NBK,15,TOP",1
,CPVKY,"SHP MTL,DOC,PAD,NBK,15",1
,D4N6H,"SHP MTL,FOAM,NBK,LCD,15",1
451-11990 : 4-cell Lithium Ion (40WHr) Bat tery,N121Y,"Module,Battery,Primary,40WHR,4C,SIMPLO",1
,T1G4M,"BTRY,PRI,40WHR,4C,LITH,LGC",1
450-18567 : 90W AC Adapter,PJF15,"Module,Adapter,Alternating Current,90W,Liteon,3P,Pwa Integrated,V2",1
,Y4M8K,"Adapter,Alternating Current,90W,Liteon,3P,Pwa Integrated,WW ,V2",1
450-14792 : Power Cord (India),X213C,"MOD,CORD,PWR,250V,1M,C5,IDA",1
,K257C,"CORD,PWR,250V,2.5A,1M,C5,IDA",1
429-16544 : Tray load DVD Drive (Reads and  Writes DVD),VMKFD,"Module,Dvd+/-Rw,8X,Toshiba Samsung Storage Technology,BARE,Across Line Of Business",1
,FC5GR,"DVD+/-RW,8X,9.5,SATA,TRAY,TSST",1
400-25331 : 500GB 5400RPM SATA Hard Drive,J61XX,"Module,Hard Drive,500,5.4,P11,4K,ML500M",1
,W2N02,"HD,500,S2,5.4K,512E,7,YRA",1
,00159,"INFO,1ST BOOT,HARD DRIVE",0
370-21720 : 4GB 1 DIMM (4GB x1) DDR3 1600M hz,K58XX,"MOD,DIMM,4GB,1X4G,1600MHZ,DDR3",1
,FYHV1,"DIMM,4GB,1600MHZ,512X64,8K,204",1
340-31061 : Placemat Documentation,8009Y,"MOD,PLCMT,GETS,OAK5VL,A/C1,W8",1
,5TJRF,"PLCMT,GETS,INSP,OAK5VL,A/C1,W8",1
340-31025 : Palmrest label (English),GT5YD,"MOD,LBL,RTL,3521,PLMRST,ENG",1
340-31023 : COO Reg Label,7GXPG,"MOD,LBL,REG,COO,CN,3521",1
,PJ8GD,"LBL,REG,COO,CN,3521",1
340-30623 : E-Bay Shopping Metro Tile,CMK0D,"MOD,SW,WIN8,MONT,ES",1
340-30563 : Windows Live Essentials,8RJV4,"MOD,SW,WIN,LVE,ESLS",1
,T2VVD,"SRV,SW,WIN,LVE,ESLS",0
,XJ3YJ,"INFO,WINRE-ADDR,200,MB-PTN",0
340-30315 : CE Help Tile,HD8Y6,"MOD,SW,HELPTILE,WIN8",1
,VMNR7,"SRV,SW,HELPTILE,WIN8",0
340-30312 : Dell Backup and Recovery Basic,CVYV4,"MOD,SW,DBAR,BASIC,CSMB",1
,CW13H,"SRV,SW,DBAR,CSMB,BASIC",0
,TX0V0,"INFO,WINRE-ADDR,8,GB-PTN",0
,CMMNR,"SRV,SW,DRCT-BOOT-RCVRY",0
340-30308 : Cyberlink Media Suite Essentia ls DVD/BD Media Kit,JDM1Y,"MOD,KIT,SW,CYB,MEDIA,STE,DVDBD",1
,4R14R,"KIT,SW,CYB,MEDIA,STE,DVD,BD",1
340-30305 : Cyberlink Media Suite Essentia ls DVD,DY69F,"Module,Software,Cyberlink,Suite,ESLS,Consumer,Digital Video Disk Drive",1
340-30297 : Dolby ODD Royalty,5F47M,"MOD,SW,DOLBY,ODD,LIC,FI,W8+",1
,D5YR4,"INFO,RYLTY,DOLBY,ODD,LIC,W8+",0
,D5YR4,"INFO,RYLTY,DOLBY,ODD,LIC,W8+",0
340-30169 : Browser Search Software,NRW9V,"MOD,SW,BROWSER-SEARCH,CSMR",1
340-30033 : Windows 8 GML Label,68CGP,"MOD,SW,MS,GML,LBL,OS,CSMR",1
,X2F61,"LBL,GML,MS, OS,CSMR",1
,X2F61,"LBL,GML,MS, OS,CSMR",1
340-30015 : Skype Software,K71FY,"MOD,SW,SKYPT,SKYPE,W8,FI",1
340-30014 : My Dell,J5V02,"MOD,SW,APP,SACLIENT",1
,2HWDT,"SRV,SW,MY-DELL,3.X",0
,J24RJ,"INFO,RYLTY,SW,APP,SACLIENT",0
340-30012 : Desktop Icon - Ebay,HXG92,"MOD,SW,EBAY-ICON,FAVORITE,W8",1
,K1PTD,"INFO,SW,EBAY-WEBSLICE,RYLTY,W8",0
,NRNXX,"SRV,SW,EBAY-ICON,FAVORITE,W8",0
340-30011 : Retail Register,FF5Y4,"MOD,SW,DELL-RGTN,2.X",1
,9F2T4,"INFO,SW,RTL,RGTN,2.X",0
,TJ2TJ,"SRV,SW,RTL,RGTN,2.X",0
,9F2T4,"INFO,SW,RTL,RGTN,2.X",0
,TJ2TJ,"SRV,SW,RTL,RGTN,2.X",0
340-29890 : Documentation Kit (ANZ/TH/IN/D DD),0MFTF,"MOD,GDE,PROD,SERI,ENG,APCC",1
,HJTP8,"GDE,PROD,INFO,SERI,ENG,APCC",1
340-29886 : System Driver,V9VP6,"MOD-SRV,SW,INS,OAK 15/17",1
,V6R74,"SRV,DRVR,CARD-RDR,INPS,OAK15/7",0
,07HF9,"SRV,DRVR,ESTR,XLOB",0
,57154,"Service Charge,Software,      Windows 98,Fully Integrated   System Test",0
,NWF52,"INFO,RYLTY,SW,MAXX AUDIO4",0
,1C1W0,"SRV,APPS,QIK-SET,INPS,OAK15/17",0
,27VH7,"SRV,DRVR,MEI,INPS,OAK15/17",0
,C0V86,"SRV,DRVR,RST,INPS,OAK15/17",0
,CCN2T,"SRV,DRVR,AUD,INPS,OAK15/17",0
,DDN0N,"SRV,DRVR,CHIPSET,INPS,OAK15/17",0
,MCRH8,"SRV,DRVR,LAN,INPS,OAK15/17",0
,MHKJG,"SRV,DRVR,TPAD,INPS,OAK15/17",0
340-29883 : Dell(TM) Wireless 1703 Driver,4D31G,"Service Install Module,1703,Wireless Fidelity,Boot,OAK15/17",1
340-24471 : Intel(R) Core(TM) i5 Series Processor Label,88PVP,"MOD,LBL,INTEL,NB,CI52",1
,54K1R,"LBL,INTEL,NB,CI52",1
,54K1R,"LBL,INTEL,NB,CI52",1
"340-22951 : E-Star Label, HPB",KM1DJ,"MOD,LBL,DEO,ESTAR",1
,1CHTF,"Label,Dell Energy Offering,Energy Star",1
340-22620 : Directship Info,W753G,"Module,Information,Direct     Ship,Compal,TSINGMA",1
,Y364G,"INFO,DIRSHP,CMPL,KUNSHAN",0
340-22381 : Self Pickup at Kunshan (CH),RT1NH,"Module,Information,Original Development Manager,PICKUP@PORT",1
,TGX59,"INFO,ODM,PICKUP@PORT",0
340-22074 : Retail Techsheet (English),GCHVF,"MOD,TSH,NB,RGTN,RTL,APJ,ENG",1
,9NPDM,"TSH,NB,RGTN,RTL,APJ,ENG",1
340-22036 : Retail System Registration Lab el,NY1C0,"MOD,LBL,ENG,RTL,APCC",1
,4YJRG,"LBL,NB,ENG,RTL,APCC",1
,4YJRG,"LBL,NB,ENG,RTL,APCC",1
340-21650 : Break the Seal Sticker,W006J,"Module,Label,Notebook         Inspiron,Break The Seal       Sticker",1
,J802J,"Label,Information,Notebook,Inspiron,Break The Seal Sticker",1
,J802J,"Label,Information,Notebook,Inspiron,Break The Seal Sticker",1
340-21635 : Retail Techsheet,H193K,"MOD,TSH,WARR,APCC/CCC",1
,J636J,"TSH,WARR,RETAIL,APAC",1
340-21600 : Retail Info,N990H,"MOD,INFO,RETAIL,CCI",1
,P637H,"INFO,RETAIL,CCI",0
,P637H,"INFO,RETAIL,CCI",0
320-12483 : LCD Back Cover - Black,61MVF,"Module,Cover,Liquid Crystal Display,B,Wireless Local Area Network Card,3521",1
,Y3PX8,"Assembly,Camera,0.92M,W/MIC,OAK",1
230-12616 : 15.6 inch LED Backlit Display with True Life and HD resoluti on (1366 x 768),M4TK3,"LCD,15.6HDF,FLAT,WLED,TLF,AUO",1
,DR1KW,"ASSY,CBL,LVDS,HD,W/CMRA,OAK 15",1
,8DVJ0,"Module,Liquid Crystal Display,15.6HDF,White Light Emitted Diode,Au Optronics Corp, 3521",1
219-17916 : Limited time promotional offer  only. No further discounts ap ply.,00009,"Information,Generic,Part      Number",1
219-17915 : Discount is only valid if the corresponding upgraded item is  selected above.,00009,"Information,Generic,Part      Number",1
"219-17913 : 8-in-1 Memory Card Reader:SD,S DHC,SDXC,MMC,MMC+,MS,MS Pro",00009,"Information,Generic,Part      Number",1
"213-16337 : 3rd Generation Intel(R) Core(T M) i5-3317U processor (3M Cach e, up to 2.6 GHz, with 1GB Dis crete base)",FXTDR,"Module,Assembly,Base,1G,I5XXX, 3521",1
,4RCV7,"ASSY,BASE,NBK,1G,I5-3317U,3521",1
,2KK85,"SRV,DRVR,DIS,7670M,VID,OAK15/7",0
,CM8VY,"SRV,DRVR,TURBO,BOOST,OAK15/17",0
,2KK85,"SRV,DRVR,DIS,7670M,VID,OAK15/7",0
,CM8VY,"SRV,DRVR,TURBO,BOOST,OAK15/17",0
210-40499 : Inspiron 15 (3521) BTX Base,6337P,"LBL,SVC TAG/EXPRESS CODE,LATC",1
,HNP6M,"BASE,NBK,INSP,BTX,3521",1
